train_frac,test_frac,train_mean,train_std,test_mean,test_std
0.05,0.95,1.0,0.0,0.24328761780457162,0.027806206147017662
0.1,0.9,1.0,0.0,0.44491272749188066,0.010411303989205692
0.15,0.85,1.0,0.0,0.44419425279787744,0.033084995742898235
0.2,0.8,1.0,0.0,0.4833903936566254,0.017900639076255668
0.25,0.75,1.0,0.0,0.47008755607997593,0.022575129191997584
0.3,0.7,1.0,0.0,0.5354666301356736,0.017280071160195424
0.35,0.65,1.0,0.0,0.5353127937377653,0.017778535662506187
0.4,0.6,1.0,0.0,0.5402794094569585,0.02554174886005813
0.45,0.55,1.0,0.0,0.5358416435366912,0.01560512477013734
0.5,0.5,1.0,0.0,0.5388740844442106,0.027322142028830185
0.55,0.44999999999999996,1.0,0.0,0.5748532709262495,0.014123326561012608
0.6,0.4,1.0,0.0,0.582635942375145,0.0068166965538093375
0.65,0.35,1.0,0.0,0.572795233561941,0.025851675629233163
0.7,0.30000000000000004,1.0,0.0,0.5769181485769803,0.02685886585841895
0.75,0.25,1.0,0.0,0.5868331627737391,0.015072003568826514
0.8,0.19999999999999996,1.0,0.0,0.5847340729740258,0.0318795407440116
0.85,0.15000000000000002,1.0,0.0,0.5946283783783783,0.03080383978477278
0.9,0.09999999999999998,1.0,0.0,0.6348682002022246,0.0453808409146332
0.95,0.050000000000000044,1.0,0.0,0.47951983604157516,0.09088861752144654
